type_of_action,traveled_distance_pixel,elapsed_time,direction_of_movement,straightness,num_points,sum_of_angles,mean_curv,sd_curv,max_curv,min_curv,mean_omega,sd_omega,max_omega,min_omega,largest_deviation,dist_end_to_end_line,num_critical_points,mean_vx,sd_vx,max_vx,min_vx,mean_vy,sd_vy,max_vy,min_vy,mean_v,sd_v,max_v,min_v,mean_a,sd_a,max_a,min_a,mean_jerk,sd_jerk,max_jerk,min_jerk,a_beg_time,class,session,n_from,n_to, islegal
1,1366.6309039290684,3.559903621673584,1,0.6884161757290659,251,293.31042004856306,0.012926057767794503,0.4980115490972476,5.176036589385496,-4.71238898038469,1.3641909729876027,60.883365634551225,224.50750755336816,-687.3346629799397,1813.0850143331024,940.8108205160057,88,145.92524748924217,378.4203874683441,1375.3046174024503,-752.5890128293311,443.08178208191987,594.1275230145872,1878.1586960415548,-1254.3150213822184,676.2887372807818,504.50043017657737,2129.1448818717195,1.5060375376167912,970.8552815211742,26476.96578259222,137445.27976785554,-65266.322336338686,51693.74858196952,4901899.436545365,14695717.019931836,-18619052.487074837,0.039978742599487305,7,1,3,253,1
4,1094.3536198143463,2.032405138015747,4,0.8705896283485955,171,-118.36939986961173,0.009305280211891509,0.6355633761898648,3.141592653589793,-1.8851711941277127,-3.907376530288387,145.34464417354255,746.4124191568857,-746.8137041706195,1082.2340531396321,952.732911156112,55,-650.8569832619063,919.2589142889892,250.152323015447,-3365.877420002006,-240.0961863500923,386.79982762139036,551.9002598769696,-1402.448925000836,786.0744115973914,925.4141767224588,3646.3672050021733,0.0,958.631647286597,28008.16682833526,93064.19371888773,-100177.87948259675,86877.56153027617,5441495.600883491,17909486.10771701,-20314797.82546962,0.07171821594238281,7,1,254,425,1
3,131.70548142703342,1.1758275032043457,2,0.9138089338249268,45,84.35935403792362,-0.01593104739074275,0.5458802801243336,1.5707963267948966,-1.5707963267948966,8.265354406098355,72.04739168134053,197.0450208356604,-135.31436259801342,240.54942303471327,120.3536455617361,22,-39.680524717386234,68.1443350567062,0,-276.2682123567382,314.8937978769657,424.25171861596124,1498.5008931761342,0.0,343.2643812207931,408.3603942123488,1498.5008931761342,0.0,1725.8497940443965,20817.438044100123,60793.75833725397,-53015.857950572296,169560.68043558064,3320231.7322642896,7469472.562895721,-8403208.241645295,0.03933262825012207,7,1,426,471,1
3,539.0461120173458,2.519843339920044,4,0.6497189925570503,188,-67.24428774133294,-0.013006617523961069,1.6929554330992276,5.176036589385496,-4.71238898038469,-2.210436910705892,291.77914493745203,789.2991759210632,-799.296294636913,194.07901016895772,350.2284968417048,69,-212.9812331700599,325.041382536689,250.50341923731597,-1126.5925329035724,-76.57362075968767,204.52971406590848,500.5434691807387,-625.3062198103644,343.9843618321724,282.251542906911,1126.5925329035724,0.0,530.4364433794412,19007.08996762075,61938.44182551979,-49555.36804429361,24702.444853262532,4055229.590426683,13936075.000363506,-8988698.566587402,0.007996082305908203,7,1,472,660,1
3,420.4532177013325,1.111264705657959,0,0.8785520533876776,71,12.985543407712257,0.0282305928042957,0.24232574138285162,1.5707963267948966,-0.5880026035475675,0.12551185301064785,47.87051994556658,155.71969441943608,-137.84897128383722,214.71613170701283,369.3900377649619,15,605.0010461255899,641.7521803432918,2678.762324746814,0.0,230.41784327013804,425.93605031981383,1414.326804732065,-467.970656327578,735.0438058168829,684.5689230471834,2785.95487020305,0.0,549.5746222719132,28805.343958090376,54250.71872158714,-80434.51645847902,-83798.5057133623,4438351.643349844,9288738.32467886,-11000201.565491382,0.047933101654052734,7,1,661,733,1
3,461.45698874665214,1.4728519916534424,3,0.9076392682755923,125,289.5567483997175,-0.04434606436860697,0.5023496661750733,1.5707963267948966,-1.5707963267948966,1.9888716248260134,84.34308440370665,393.59563394833276,-196.41645996664406,172.64971613100542,418.83648360666956,25,-366.81288056788895,458.77203724966773,0,-1876.030534351145,194.3150538800509,171.42488532675526,751.2859062005552,0.0,455.1517657094665,452.15376408775586,1941.5883833856813,0.0,282.872644393051,22828.017518705834,70163.94716359793,-68386.19703655619,-2945.6283534663053,4436066.273291687,11478537.54919556,-15069909.22233524,0.00798177719116211,7,1,734,860,1
3,466.4013953216715,1.239994764328003,7,0.9195786393249185,71,3.7801188004043045,0.10149948073882857,0.6640488137354077,3.141592653589793,-2.356194490192345,3.037180498237522,127.63392757150059,589.1966836577662,-572.9373282504326,172.63989234873978,428.89276048914604,10,675.148935455731,952.3848639028619,3430.0402229222195,-260.28136150671753,-341.4171293226216,386.00977055152543,248.4188580904999,-1494.0527190691048,807.5638239584176,986.9112470076719,3657.739009193785,0.0,1906.5236456185476,33893.42105618105,137145.7814217,-105688.62029120098,109772.85175522635,4940441.599440459,14783509.819727262,-12261525.070407232,0.0719449520111084,7,1,861,933,1
3,431.790881336299,2.007901668548584,3,0.9458606545198103,99,243.98384561868434,0.009860427328631322,0.6995167495856228,3.141592653589793,-1.5707963267948966,-0.889560805019063,87.25238114571725,211.62782078443857,-197.2455935770655,158.01368001431334,408.4140056364375,18,-442.755648289847,478.5589875214306,0,-1876.1983717531984,227.1459203547815,238.986857938212,875.4287077345101,0.0,519.7035572448968,513.0409540898999,2066.9272082072607,0.0,588.882513170737,22622.09139571537,70900.29116667005,-97218.81761790423,22990.21232503348,4531851.0111771915,14615297.73051121,-19761858.933119643,0.10322451591491699,7,1,934,1034,1
1,1567.7328186918107,1.424576997756958,1,0.628684261164762,162,190.9853156716487,-0.007568811205857128,0.17858356208491308,0.7853981633974483,-1.1071487177940904,1.093291065783725,35.9184104509154,204.672175105969,-124.70913186274475,1809.9835661296818,985.6089488230107,26,264.9733392690975,1181.0511384935369,4255.071743334496,-2000.9202421062048,711.6122873961796,543.7483161712993,2861.9019817254066,-380.67743692140135,1206.597898923384,894.6204634247808,4341.653072034708,17.936947262183754,660.4978937643564,32463.713366779586,129029.72347735273,-111874.94561600157,-14238.108010993674,5458494.903105635,14718879.588424811,-18308297.62132999,0,7,10,3,164,1
4,1402.4424466107141,1.1048247814178467,4,0.9835699392288797,107,-107.02706409086007,0.06499070943290254,0.9966504029346047,5.81953769817878,-4.71238898038469,5.226261768694546,263.1735561906391,761.0964362926821,-818.758624360212,1099.7808792717422,1379.4002319849014,40,-1462.0657817828671,1656.3116707075926,0,-6362.285112837817,-673.0207607995404,838.1755459307585,0,-3224.5750613560426,1634.2081684921231,1834.2173554355052,7028.309167554863,0.0,498.2155414223263,44065.30972996338,129511.5073368566,-127098.1270438804,6538.762759179052,7802149.554579879,20514459.330376502,-18953614.816499215,0.12056159973144531,7,10,165,272,1
